Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
42 Coin,42 Coin (42),Scrypt,PoW/PoS,42
300 token,300 token (300),N/A,N/A,300
365Coin,365Coin (365),X11,PoW/PoS,2300000000
404Coin,404Coin (404),Scrypt,PoW/PoS,532000000
433 Token,433 Token (433),N/A,N/A,1000000000
SixEleven,SixEleven (611),SHA-256,PoW,611000
808,808 (808),SHA-256,PoW/PoS,0
Octocoin,Octocoin (888),N/A,PoW,135776563
EliteCoin,EliteCoin (1337),X13,PoW/PoS,314159265359
2015 coin,2015 coin (2015),X11,PoW/PoS,0
BitcoinDark,BitcoinDark (BTCD),SHA-256,PoW/PoS,22000000
CraigsCoin,CraigsCoin (CRAIG),X11,PoS,30000000
Bitstake,Bitstake (XBS),X11,PoW/PoS,1300000
PayCoin,PayCoin (XPY),SHA-256,PoS,12500000
ProsperCoin,ProsperCoin (PRC),Scrypt,PoW,21000000
YbCoin,YbCoin (YBC),Multiple,PoS,200000000
DarkKush,DarkKush (DANK),X13,PoW/PoS,3000000
GiveCoin,GiveCoin (GIVE),X11,PoW,500000000
KoboCoin,KoboCoin (KOBO),X15,PoW/PoS,350000000
DarkToken,DarkToken (DT),NIST5,PoW/PoS,0
CETUS Coin,CETUS Coin (CETI),Scrypt,PoW/PoS,0
Supcoin,Supcoin (SUP),N/A,PoW,0
PetroDollar,PetroDollar (XPD),SHA-256D,N/A,122107462
GeoCoin,GeoCoin (GEO),N/A,N/A,4000000
CleverHash,CleverHash (CHASH),N/A,N/A,0
NXTI,NXTI (NXTI),N/A,N/A,N/A
Insanity Coin,Insanity Coin (WOLF),X11,PoW,50000000
ACoin,ACoin (ACOIN),SHA-256,PoW,1600000
Aero Coin,Aero Coin (AERO),X13,PoS,7000000
AlphaCoin,AlphaCoin (ALF),Scrypt,PoW,210182000
Aegis,Aegis (AGS),X13,PoS,0
AmericanCoin,AmericanCoin (AMC),Scrypt,PoW,168000000
AlienCoin,AlienCoin (ALIEN),Scrypt,PoW,200000000
ApexCoin,ApexCoin (APEX),X13,PoW/PoS,6000000
ArchCoin,ArchCoin (ARCH),Scrypt,PoS,16403135
Argentum,Argentum (ARG),Scrypt,PoW,64000000
AriCoin,AriCoin (ARI),Scrypt,PoW,322649400
AXRON,AXRON (AXR),N/A,N/A,0
BetaCoin,BetaCoin (BET),SHA-256,PoW,32000000
BeanCash,BeanCash (BEAN),SHA-256,PoW/PoS,50000000000
BlueCoin,BlueCoin (BLU),Scrypt,PoW/PoS,0
BoostCoin,BoostCoin (BOST),X13,PoW/PoS,N/A
BQCoin,BQCoin (BQC),Scrypt,PoW,88000000
MyriadCoin,MyriadCoin (XMY),Multiple,PoW,2000000000
MoonCoin,MoonCoin (MOON),Scrypt,PoW,384000000000
ZetaCoin,ZetaCoin (ZET),SHA-256,PoW,169795588
SexCoin,SexCoin (SXC),Scrypt,PoW,250000000
Quatloo,Quatloo (QTL),Scrypt,PoW,100000000
EnergyCoin,EnergyCoin (ENRG),Scrypt,PoW/PoS,0
QuarkCoin,QuarkCoin (QRK),Quark,PoW,247000000
Riecoin,Riecoin (RIC),Groestl,PoW,84000000
Digitalcoin ,Digitalcoin  (DGC),Scrypt,PoW,48166000
LimeCoinX,LimeCoinX (LIMX),X11,PoW,21000000 
BitBar,BitBar (BTB),Scrypt,PoW/PoS,500000
CAIx,CAIx (CAIx),Scrypt,PoS,0
BitMark,BitMark (BTMK),Scrypt,PoW,27580000
CryptoBuk,CryptoBuk (BUK),Scrypt,PoW/PoS,100000000
Cachecoin,Cachecoin (CACH),Scrypt,PoW,2000000000
CannabisCoin,CannabisCoin (CANN),X11,PoW,N/A
BottleCaps,BottleCaps (CAP),Scrypt,PoW/PoS,47433600
CashCoin,CashCoin (CASH),Scrypt,PoW/PoS,47433600
Catcoin,Catcoin (CAT),Scrypt,PoW,21000000 
CryptoBullion,CryptoBullion (CBX),Scrypt,PoW/PoS,1000000
CannaCoin,CannaCoin (CCN),Scrypt,PoW,13140000
CinderCoin,CinderCoin (CIN),Multiple,PoW/PoS,114000000
CINNICOIN,CINNICOIN (CINNI),Scrypt,PoW,15000000
CheckCoin,CheckCoin (CXC),N/A,PoS,100000000
CLAMS,CLAMS (CLAM),PoS,PoS,N/A
CopperLark,CopperLark (CLR),SHA-256,PoW,27200000
CosmosCoin,CosmosCoin (CMC),Scrypt,PoW/PoS,100000000
ChinaCoin,ChinaCoin (CNC),Scrypt,PoW,462500000
Community Coin,Community Coin (COMM),Scrypt,PoW/PoS,1000000000
CoolCoin,CoolCoin (COOL),Scrypt,PoS,100000000
CrackCoin,CrackCoin (CRACK),X11,PoW,6000000
CryptCoin,CryptCoin (CRYPT),X11,PoW,18000000
eMark,eMark (DEM),SHA-256,PoW/PoS,0
Diamond,Diamond (DMD),Groestl,PoW/PoS,4380000
DarkCash,DarkCash (DRKC),X11,PoW/PoS,3720000
DarkShibe,DarkShibe (DSB),Scrypt,PoW,2043962
DevCoin,DevCoin (DVC),SHA-256,PoW,21000000000
EarthCoin,EarthCoin (EAC),Scrypt,PoW,13500000000
E-Gulden,E-Gulden (EFL),Scrypt,PoW,21000000 
Elacoin,Elacoin (ELC),Scrypt,PoW,75000000
Emerald,Emerald (EMD),Scrypt,PoW,32000000
Exclusive Coin,Exclusive Coin (EXCL),PoS,PoS,0
ExeCoin,ExeCoin (EXE),Scrypt,PoW,21000000 
EZCoin,EZCoin (EZC),Scrypt,PoW,84000000
Flappy Coin,Flappy Coin (FLAP),Scrypt,PoW,100000000000
Fuel2Coin,Fuel2Coin (FC2),X11,PoS,100000000
FireflyCoin,FireflyCoin (FFC),SHA-256,PoW,700000000000
FIBRE,FIBRE (FIBRE),NIST5,PoW/PoS,624000
FireRoosterCoin,FireRoosterCoin (FRC),SHA-256,PoW,2602410
FlutterCoin,FlutterCoin (FLT),Scrypt,PoS/PoW/PoT,0
Franko,Franko (FRK),Scrypt,PoW,11235813
FractalCoin,FractalCoin (FRAC),X11,PoW,1000000
FastCoin,FastCoin (FSTC),Scrypt,PoW,165888000
GrandCoin,GrandCoin (GDC),Scrypt,PoW,1420609614
GlobalCoin,GlobalCoin (GLC),Scrypt,PoW,70000000
GoldCoin,GoldCoin (GLD),Scrypt,PoW,72245700
GalaxyCoin,GalaxyCoin (GLX),Scrypt,PoW/PoS,538214400
GlyphCoin,GlyphCoin (GLYPH),X11,PoW/PoS,7000000
GameLeagueCoin,GameLeagueCoin (GML),Scrypt,PoW/PoS,500000000
GuerillaCoin,GuerillaCoin (GUE),X11,PoW/PoS,19500000
Halcyon,Halcyon (HAL),X15,PoW/PoS,0
HoboNickels,HoboNickels (HBN),Scrypt,PoW/PoS,120000000
HunterCoin,HunterCoin (HUC),Multiple,PoW,42000000
HeavyCoin,HeavyCoin (HVC),Multiple,PoW,128000000
HyperStake,HyperStake (HYP),X11,PoS,0
IceBergCoin,IceBergCoin (ICB),NIST5,PoW/PoS,8750000
Infinite Coin,Infinite Coin (IFC),Scrypt,PoW,90600000000
IXcoin,IXcoin (IXC),SHA-256,PoW,21000000
JumBucks Coin,JumBucks Coin (JBS),X11,PoW/PoS,3293010
JunkCoin,JunkCoin (JKC),Scrypt,PoW,107000000
JudgeCoin,JudgeCoin (JUDGE),X13,PoW/PoS,21600000
Klondike Coin,Klondike Coin (KDC),Scrypt,PoW,20000000
